c,featurecode,desc2,_desc
529,PPL,"a city, town, village, or other agglomeration of buildings where people live and work",populated place
418,PPLC,,capital of a political entity
238,ADM1,"a primary administrative division of a country, such as a state in the United States",first-order administrative division
220,PCLI,,independent political entity
213,PPLA2,,seat of a second-order administrative division
154,PPLX,,section of populated place
78,PPLA,seat of a first-order administrative division (PPLC takes precedence over PPLA),seat of a first-order administrative division
62,ADM2,a subdivision of a first-order administrative division,second-order administrative division
51,CONT,"continent: Europe, Africa, Asia, North America, South America, Oceania, Antarctica",continent
35,STNB,a scientific facility used as a base from which research is carried out or monitored,scientific research base
28,PPLA3,,seat of a third-order administrative division
27,ADM3,a subdivision of a second-order administrative division,third-order administrative division
24,PP,a building in which police are stationed,police post
20,ST,a paved urban thoroughfare,street
19,HTL,a building providing lodging and/or meals for the public,hotel
14,MTRO,"metro station (Underground, Tube, or Metro)",metro station
10,SCH,building(s) where instruction in one or more branches of knowledge takes place,school
9,RSTN,"a facility comprising ticket office, platforms, etc. for loading and unloading train passengers and freight",railroad station
9,CH,a building for public Christian worship,church
7,BLDG,"a structure built for permanent use, as a house, factory, etc.",building(s)
7,STM,a body of running water moving to a lower level in a channel on land,stream
7,PPLA4,,seat of a fourth-order administrative division
7,RK,"a conspicuous, isolated rocky mass",rock
6,DAM,a barrier constructed across a stream to impound water,dam
6,BDG,"a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across",bridge
5,RGN,an area distinguished by one or more observable physical or cultural characteristics,region
3,PRK,"an area, often of forested land, maintained as a place of beauty, or for recreation",park
3,HMSD,"a residence, owner's or manager's, on a sheep or cattle station, woolshed, outcamp, or Aboriginal outstation, specific to Australia and New Zealand",homestead
3,PCLD,,dependent political entity
3,ADM1H,a former first-order administrative division,historical first-order administrative division
3,FRMT,the buildings and adjacent service areas of a farm,farmstead
3,ISL,"a tract of land, smaller than a continent, surrounded by water at high water",island
2,MT,"an elevation standing high above the surrounding area with small summit area, steep slopes and local relief of 300m or more",mountain
2,HSP,"a building in which sick or injured, especially those confined to bed, are medically treated",hospital
2,RES,a tract of public land reserved for future use or restricted as to use,reserve
2,AREA,a tract of land without homogeneous character or boundaries,area
2,CAPE,"a land area, more prominent than a point, projecting into the sea and marking a notable change in coastal direction",cape
2,ADM4,a subdivision of a third-order administrative division,fourth-order administrative division
1,SEA,a large body of salt water more or less confined by continuous land or chains of islands forming a subdivision of an ocean,sea
1,LCTY,a minor area or place of unspecified or mixed character and indefinite boundaries,locality
1,CNL,an artificial watercourse,canal
1,LIBR,"A place in which information resources such as books are kept for reading, reference, or lending.",library
1,BAY,"a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf",bay
1,INLT,"a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water",inlet
1,CMTY,a burial place or ground,cemetery
1,STDM,a structure with an enclosure for athletic games with tiers of seats for spectators,stadium
1,ISLS,"tracts of land, smaller than a continent, surrounded by water at high water",islands
1,FRM,a tract of land with associated buildings devoted to agriculture,farm
1,SPNG,a place where ground water flows naturally out of the ground,spring(s)
1,LK,a large inland body of standing water,lake
1,SQR,"a broad, open, public area near the center of a town or city",square
1,PT,"a tapering piece of land projecting into a body of water, less prominent than a cape",point
1,MTS,a mountain range or a group of mountains or high ridges,mountains
1,ATHF,"a tract of land used for playing team sports, and athletic track and field events",athletic field
1,VAL,an elongated depression usually traversed by a stream,valley
1,PO,"a public building in which mail is received, sorted and distributed",post office
1,HLL,a rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m,hill
1,WLL,"a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface",well
1,PPLL,an area similar to a locality but with a small group of dwellings or other buildings,populated locality
1,STMI,,intermittent stream
1,ADMD,"an administrative division of a country, undifferentiated as to administrative level",administrative division
1,OILF,an area containing a subterranean store of petroleum of economic value,oilfield
